Customer ID,Customer Name,Customer Segment,Age Group,Region,Acquisition Channel,Campaign Name,Website Visit Date,Page Views,Product Viewed,Add to Cart,Checkout Started,Purchase Completed,Purchase Value,Session Duration (mins),Bounce Status,Customer Feedback Score,Customer Retention Status,Funnel Stage,Conversion Status
CUST031,Customer 31,Returning,36-45,North,Email,New Launch,2024-01-07,11,Yes,No,No,No,0,10.68,No,5,Churned,View,Not Converted
CUST032,Customer 32,New,36-45,North,Google,Discount Blast,2024-01-08,6,Yes,No,No,No,0,14.84,No,3,Churned,View,Not Converted
CUST033,Customer 33,New,36-45,North,Direct,Summer Sale,2024-06-04,9,Yes,No,No,No,0,18.59,No,5,Retained,View,Not Converted
CUST034,Customer 34,New,36-45,East,Google,New Launch,2024-04-03,9,No,No,No,No,0,6.88,Yes,4,Churned,Visit,Not Converted
CUST035,Customer 35,New,26-35,West,Direct,Festive Offer,2024-04-13,10,No,No,No,No,0,11.81,Yes,4,Retained,Visit,Not Converted
CUST036,Customer 36,New,46-60,East,Direct,Discount Blast,2024-03-18,8,No,No,No,No,0,13.84,Yes,5,Churned,Visit,Not Converted
CUST037,Customer 37,Returning,18-25,South,Email,Festive Offer,2024-02-13,13,Yes,No,No,No,0,4.78,No,1,Retained,View,Not Converted
CUST038,Customer 38,New,46-60,West,Instagram,Discount Blast,2024-03-03,8,No,No,No,No,0,8.59,Yes,2,Retained,Visit,Not Converted
CUST039,Customer 39,New,26-35,West,Google,Festive Offer,2024-01-28,15,No,No,No,No,0,17.12,Yes,4,Retained,Visit,Not Converted
CUST040,Customer 40,Returning,46-60,West,Instagram,Discount Blast,2024-04-28,8,No,No,No,No,0,5.92,Yes,2,Churned,Visit,Not Converted
CUST041,Customer 41,New,36-45,West,Google,New Launch,2024-05-13,4,No,No,No,No,0,6.16,Yes,3,Retained,Visit,Not Converted
CUST042,Customer 42,New,26-35,North,Direct,Discount Blast,2024-02-05,6,Yes,Yes,No,No,0,11.31,No,4,Retained,Cart,Not Converted
CUST043,Customer 43,Returning,18-25,West,Direct,Summer Sale,2024-02-22,6,No,No,No,No,0,6.67,Yes,4,Churned,Visit,Not Converted
CUST044,Customer 44,New,36-45,West,Direct,Summer Sale,2024-05-17,7,Yes,No,No,No,0,7.39,No,4,Retained,View,Not Converted
CUST045,Customer 45,New,18-25,West,Instagram,Discount Blast,2024-04-29,3,Yes,Yes,No,No,0,1.96,No,4,Churned,Cart,Not Converted
CUST046,Customer 46,Returning,36-45,West,Email,Discount Blast,2024-02-24,5,No,No,No,No,0,16.86,Yes,4,Retained,Visit,Not Converted
CUST047,Customer 47,New,18-25,North,Google,Festive Offer,2024-05-18,4,Yes,No,No,No,0,16.95,No,5,Retained,View,Not Converted
CUST048,Customer 48,New,26-35,West,Email,New Launch,2024-03-02,3,Yes,No,No,No,0,12.51,No,1,Retained,View,Not Converted
CUST049,Customer 49,Returning,46-60,South,Google,Festive Offer,2024-03-20,2,Yes,Yes,No,No,0,14.25,No,3,Retained,Cart,Not Converted
CUST050,Customer 50,Returning,36-45,North,Email,Summer Sale,2024-05-24,14,Yes,No,No,No,0,8.98,No,4,Retained,View,Not Converted
CUST051,Customer 51,Returning,26-35,West,Instagram,New Launch,2024-04-20,10,No,No,No,No,0,16.36,Yes,5,Churned,Visit,Not Converted
CUST052,Customer 52,Returning,36-45,South,Google,New Launch,2024-04-29,15,No,No,No,No,0,9.57,Yes,4,Churned,Visit,Not Converted
CUST053,Customer 53,Returning,26-35,West,Instagram,New Launch,2024-03-27,13,Yes,No,No,No,0,5.91,No,3,Churned,View,Not Converted
CUST054,Customer 54,Returning,26-35,West,Direct,Discount Blast,2024-05-22,13,Yes,Yes,Yes,Yes,3829,1.33,No,3,Retained,Purchase,Converted
CUST055,Customer 55,Returning,46-60,East,Direct,New Launch,2024-04-13,6,Yes,No,No,No,0,14.35,No,3,Churned,View,Not Converted
CUST056,Customer 56,New,26-35,South,Instagram,Discount Blast,2024-03-05,5,Yes,Yes,Yes,No,0,14.77,No,5,Churned,Checkout,Not Converted
CUST057,Customer 57,New,36-45,South,Email,Summer Sale,2024-01-26,12,Yes,No,No,No,0,11.15,No,3,Retained,View,Not Converted
CUST058,Customer 58,New,46-60,North,Google,New Launch,2024-01-14,8,No,No,No,No,0,10.1,Yes,3,Retained,Visit,Not Converted
CUST059,Customer 59,Returning,18-25,North,Direct,Discount Blast,2024-01-14,2,No,No,No,No,0,11.96,Yes,1,Retained,Visit,Not Converted
CUST060,Customer 60,New,26-35,North,Direct,Festive Offer,2024-02-08,13,No,No,No,No,0,10.93,Yes,4,Churned,Visit,Not Converted
CUST061,Customer 61,Returning,18-25,North,Instagram,Festive Offer,2024-03-17,5,No,No,No,No,0,13.55,Yes,2,Retained,Visit,Not Converted
CUST062,Customer 62,Returning,46-60,East,Google,Festive Offer,2024-02-14,5,Yes,Yes,Yes,No,0,14.43,No,4,Retained,Checkout,Not Converted
CUST063,Customer 63,New,46-60,North,Instagram,Festive Offer,2024-06-24,15,Yes,No,No,No,0,6.05,No,2,Retained,View,Not Converted
CUST064,Customer 64,Returning,46-60,North,Direct,New Launch,2024-01-16,12,Yes,No,No,No,0,8.65,No,3,Churned,View,Not Converted
CUST065,Customer 65,Returning,36-45,North,Google,Festive Offer,2024-04-22,11,Yes,Yes,No,No,0,16.88,No,5,Retained,Cart,Not Converted
CUST066,Customer 66,New,26-35,West,Direct,New Launch,2024-06-21,3,No,No,No,No,0,19.94,Yes,4,Churned,Visit,Not Converted
CUST067,Customer 67,Returning,46-60,East,Email,Summer Sale,2024-01-24,14,No,No,No,No,0,4.06,Yes,4,Churned,Visit,Not Converted
CUST068,Customer 68,New,46-60,North,Email,New Launch,2024-03-14,6,No,No,No,No,0,3.2,Yes,4,Retained,Visit,Not Converted
CUST069,Customer 69,Returning,18-25,South,Email,Discount Blast,2024-06-17,11,No,No,No,No,0,9.4,Yes,1,Retained,Visit,Not Converted
CUST070,Customer 70,Returning,46-60,North,Google,Festive Offer,2024-03-09,12,Yes,No,No,No,0,4.01,No,5,Retained,View,Not Converted
CUST071,Customer 71,New,26-35,North,Direct,Summer Sale,2024-05-21,11,No,No,No,No,0,16.81,Yes,4,Churned,Visit,Not Converted
CUST072,Customer 72,Returning,46-60,West,Instagram,Discount Blast,2024-05-10,9,No,No,No,No,0,3.75,Yes,2,Retained,Visit,Not Converted
CUST073,Customer 73,Returning,36-45,East,Google,New Launch,2024-01-18,12,No,No,No,No,0,6.67,Yes,5,Churned,Visit,Not Converted
CUST074,Customer 74,Returning,36-45,East,Direct,Discount Blast,2024-02-08,15,No,No,No,No,0,7.11,Yes,2,Retained,Visit,Not Converted
CUST075,Customer 75,New,46-60,North,Email,Discount Blast,2024-05-26,12,No,No,No,No,0,18.36,Yes,4,Churned,Visit,Not Converted
CUST076,Customer 76,New,26-35,East,Google,Discount Blast,2024-06-18,2,Yes,No,No,No,0,10.99,No,4,Retained,View,Not Converted
CUST077,Customer 77,New,18-25,West,Email,New Launch,2024-02-06,10,No,No,No,No,0,14.16,Yes,1,Churned,Visit,Not Converted
CUST078,Customer 78,Returning,46-60,North,Google,Festive Offer,2024-06-21,11,No,No,No,No,0,14.0,Yes,3,Retained,Visit,Not Converted
CUST079,Customer 79,New,18-25,West,Instagram,New Launch,2024-01-24,15,No,No,No,No,0,1.55,Yes,3,Retained,Visit,Not Converted
CUST080,Customer 80,Returning,46-60,South,Instagram,Discount Blast,2024-03-16,10,No,No,No,No,0,13.95,Yes,2,Retained,Visit,Not Converted
CUST081,Customer 81,New,46-60,South,Instagram,Discount Blast,2024-02-14,11,Yes,No,No,No,0,5.83,No,3,Retained,View,Not Converted
CUST082,Customer 82,New,18-25,West,Email,New Launch,2024-04-29,11,No,No,No,No,0,19.28,Yes,3,Churned,Visit,Not Converted
CUST083,Customer 83,Returning,18-25,South,Direct,New Launch,2024-03-18,10,Yes,No,No,No,0,6.62,No,3,Retained,View,Not Converted
CUST084,Customer 84,Returning,18-25,North,Direct,New Launch,2024-06-17,13,No,No,No,No,0,16.18,Yes,5,Churned,Visit,Not Converted
CUST085,Customer 85,New,18-25,North,Email,Discount Blast,2024-02-26,1,Yes,No,No,No,0,12.01,No,2,Retained,View,Not Converted
CUST086,Customer 86,Returning,26-35,South,Instagram,New Launch,2024-03-16,9,No,No,No,No,0,10.53,Yes,3,Retained,Visit,Not Converted
CUST087,Customer 87,Returning,36-45,North,Direct,Summer Sale,2024-03-06,3,No,No,No,No,0,15.33,Yes,2,Churned,Visit,Not Converted
CUST088,Customer 88,New,46-60,North,Email,Summer Sale,2024-05-22,8,No,No,No,No,0,8.0,Yes,3,Churned,Visit,Not Converted
CUST089,Customer 89,New,26-35,West,Google,New Launch,2024-06-12,15,No,No,No,No,0,12.59,Yes,1,Churned,Visit,Not Converted
CUST090,Customer 90,Returning,18-25,South,Google,Summer Sale,2024-06-28,5,No,No,No,No,0,19.92,Yes,1,Retained,Visit,Not Converted
CUST091,Customer 91,Returning,36-45,West,Instagram,Discount Blast,2024-03-01,11,Yes,No,No,No,0,2.88,No,4,Churned,View,Not Converted
CUST092,Customer 92,New,46-60,West,Instagram,New Launch,2024-03-12,2,Yes,No,No,No,0,19.64,No,3,Churned,View,Not Converted
CUST093,Customer 93,Returning,26-35,North,Direct,Summer Sale,2024-01-16,11,No,No,No,No,0,5.03,Yes,5,Retained,Visit,Not Converted
CUST094,Customer 94,New,26-35,South,Google,Festive Offer,2024-01-13,10,No,No,No,No,0,5.1,Yes,2,Churned,Visit,Not Converted
CUST095,Customer 95,New,26-35,East,Instagram,Summer Sale,2024-02-07,11,Yes,No,No,No,0,17.46,No,2,Retained,View,Not Converted
CUST096,Customer 96,New,26-35,East,Google,Festive Offer,2024-04-01,12,Yes,No,No,No,0,9.0,No,1,Retained,View,Not Converted
CUST097,Customer 97,Returning,18-25,West,Instagram,Summer Sale,2024-05-01,12,No,No,No,No,0,15.88,Yes,5,Churned,Visit,Not Converted
CUST098,Customer 98,Returning,46-60,North,Direct,Discount Blast,2024-04-27,2,Yes,Yes,No,No,0,18.09,No,3,Retained,Cart,Not Converted
CUST099,Customer 99,Returning,46-60,East,Direct,Discount Blast,2024-01-17,2,Yes,No,No,No,0,16.07,No,1,Retained,View,Not Converted
CUST100,Customer 100,New,46-60,East,Direct,Discount Blast,2024-04-20,7,No,No,No,No,0,14.86,Yes,3,Churned,Visit,Not Converted
